kd_kabupaten,Kabupaten/Kota,TotalLapanganPekerjaanJumlah,JumlahPenduduk,Jumlah Penduduk Miskin,Tidak Sekolah,Tidak Tamat SD,SD,SLTP,SMA,Perguruan Tinggi
144,Bangkalan,468316,970894,191330,19.36,19.9,35.28,14.86,7.58,0.33
145,Banyuwangi,870242,1604897,125500,8.64,23.01,30.03,20.46,10.74,3.18
146,Kota Batu,108990,203997,7980,1.89,17.98,26.68,20.88,17.39,6.2
147,Blitar,616952,1153803,112400,4.97,18.74,32.51,23.64,11.54,3.99
148,Kota Blitar,75618,139995,10470,1.67,13.75,20.92,20.27,17.71,11.29
149,Bojonegoro,633437,1243906,163940,8.64,14.86,36.33,20.98,11.85,3.45
150,Bondowoso,419497,768912,110980,13.81,30.19,28.95,12.48,8.06,2.31
151,Gresik,625842,1285018,154020,2.85,13.69,24.01,21.73,24.27,6.29
152,Jember,1224493,2430185,243420,13.25,22.03,33.45,14.13,9.54,3.34
154,Jombang,642854,1253078,120190,3.96,19.84,28.89,22.8,13.69,5.84
155,Kediri,783578,1561392,177200,4.84,18.58,31.45,21.45,12.8,6.58
156,Kota Kediri,140278,284003,21900,1.47,10.27,23.07,18.93,25.27,9.9
157,Lamongan,614693,1188478,164000,8.8,18.19,27.94,22,14.64,3.1
158,Lumajang,539800,1036823,103690,11.84,20.06,41.11,14.43,7.82,1.55
159,Madiun,362591,679888,77750,9.18,14.68,32.42,21.08,11.75,6.44
160,Kota Madiun,86875,176099,7920,1.11,7.73,16.18,18.14,28.71,10.66
161,Magetan,377716,628609,64860,4.36,16.9,30.84,19.06,15.41,7.95
162,Malang,1354311,2576596,268490,5.36,22.7,33.91,19.33,10.05,4.9
163,Kota Malang,423951,861414,35490,2.01,10.3,20.81,18.23,25.67,7.52
164,Mojokerto,590384,1099504,111550,3.25,20.29,25.49,24.15,15.85,7.13
165,Kota Mojokerto,66833,127279,7040,1.38,12.81,20.65,20.17,22.74,11.47
166,Nganjuk,541279,1048799,127280,5.54,18.89,31.01,21.89,12.57,5.31
167,Ngawi,479989,829899,123090,11.1,20.44,31.48,20.87,8.67,3.87
168,Pacitan,348768,553388,78640,6.45,15.83,38.72,21.45,7.38,4.76
169,Pamekasan,444701,863004,125760,17.88,20.26,28.77,13.81,12.04,1.66
170,Pasuruan,811710,1605307,152480,8.01,21.92,32.68,17.49,11.14,5.33
171,Kota Pasuruan,94782,197696,13450,4.19,17.23,25.36,16.6,18.77,6.69
172,Ponorogo,485697,869894,90220,10.18,20.36,30.24,19.24,11.67,3.52
173,Probolinggo,587351,1155214,217060,13.68,24.72,32.73,14.16,9.1,2.22
174,Kota Probolinggo,111527,233123,16900,5.98,16.4,26.3,16.69,17.85,8.58
175,Sampang,461237,958082,204820,26.27,25.98,27.77,10.39,5.85,0.91
176,Sidoarjo,1042877,2183682,125750,1.22,10.4,19.49,20.75,25.63,11.61
177,Situbondo,382791,676703,80270,14.96,22.79,29.48,15.1,10.11,2.07
178,Sumenep,608592,1081204,218600,23.14,19.46,27.11,15.67,10.3,0.93
179,Kota Surabaya,1426945,2874699,140810,1.79,9.79,21.6,17.31,26.27,8.66
180,Trenggalek,399122,693104,83500,4.5,15.18,38.7,21.98,10.62,4.34
181,Tuban,640855,1163614,178640,13.26,13.69,37.89,18.69,10.43,2.39
182,Tulungagung,554475,1030790,75230,3.27,15.5,34.93,21.9,13.23,6.06
