"FLAG_TSUNAMI","FOCAL_DEPTH","EQ_PRIMARY","LATITUDE","LONGITUDE"
"Tsu",33,6.9,-4,140
"Tsu",33,6.5,-3,127.5
"",90,8.4,1,123
"Tsu",50,7.8,2,94.5
"Tsu",500,7.3,3,122
"",200,7.9,1,127
"Tsu",130,7.5,-2,100
"Tsu",40,7.6,-2,101
"Tsu",15,7.8,5.354,126.121
"Tsu",15,8.1,-1.829,136.943
"Tsu",35,7.6,-3.924,101.82
"",30,8.1,-3,136
"",16,8.1,-3,135.5
"",100,7.3,-9,113
"",100,7.8,-7.5,128
"",190,8.1,-7,129
"Tsu",33,6,-5.6,105.3
"Tsu",100,6.5,-9.3,114.3
"Tsu",60,7.7,4.5,126.5
"",70,7.2,-9.4,110.2
"Tsu",25,8.5,-5.25,130.5
"",50,7.6,-1,101
"",90,8.1,-9.5,110
"",60,7.6,-6,134.5
"",220,7.5,-8.5,123.5
"",60,7.9,-3,127.5
"Tsu",60,7.6,-3.8,128.3
"",60,8.1,-6.5,129.5
"",190,7.5,-5.5,130
"",600,7.5,-4.6,107.1
"Tsu",33,7.3,-1.5,137
"Tsu",200,6.7,-4.5,104
"",100,6.7,-9.5,112.5
"",74,6.5,-8.2,122
"",65,6,-8.2,115.6
"",100,8.3,-6.86,129.58
"Tsu",64,6.6,-6.4,105.4
"",90,5.2,-3.7,119.4
"Tsu",130,7,5.9,95.7
"Tsu",6,7.6,-2.4,126.1
"",80,6.8,-9.2,113.1
"Tsu",33,5.5,-3.7,119.3
"Tsu",100,6.1,5.5,97.3
"",65,7.7,-2.9,139.3
"Tsu",25,7.6,1.4,126.2
"Tsu",23,7.4,0.2,119.8
"",70,7.5,4.8,127.4
"Tsu",13,7.4,-3.1,118.9
"",20,7.7,2.1,94.6
"",34,8.1,-3.1,139.7
"",40,7.1,0.6,98.8
"",35,5.2,-7.2,109.1
"",325,7.8,3.9,124.3
"",27,5.6,-6.7,106.7
"",33,7.1,-4.603,140.091
"",40,6.5,-8.17,114.888
"",33,7.1,-4.517,139.918
"",33,5.2,-8.22,115.19
"",22,6,0.45,100.02
"Tsu",33,8,-11.085,118.464
"",43,5.4,-8.299,115.934
"",25,5.8,-8.207,115.949
"Tsu",5,7.9,-1.679,136.04
"",38,6.2,-8.254,115.847
"",62,6.1,-7.656,108.252
"",33,6.6,-3.299,102.712
"",33,6.3,-8.39,115.889
"",84,5.8,-8.082,108.793
"",33,6.7,-4.576,139.232
"",40,5.5,-6.863,106.936
"Tsu",52,5.4,4.374,97.755
"Tsu",33,6.4,-9.265,118.479
"",46,5.6,-8.375,120.577
"Tsu",33,5.9,-8.405,123.08
"Tsu",17,6.5,-4.056,127.924
"",79,6.6,5.723,94.722
"",40,6,1.084,121.052
"",33,6.1,1.131,120.858
"Tsu",33,6.6,-2.823,118.806
"",33,5.2,1.761,99.075
"Tsu",99,6.2,-9.245,114.185
"",10,6.3,-4.13,136.049
"",10,7.1,-1.639,134.911
"",33,5,-3.904,103.461
"",11,6.6,2.244,98.866
"Tsu",33,6.5,-8.247,124.155
"",32,5.6,1.031,126.189
"",10,6.2,-8.081,125.129
"",14,5.8,-4.511,139.022
"",9,6,-4.219,136.667
"",26,7.6,1.186,122.857
"",14,4.8,-6.904,108.12
"",48,6.8,3.908,97.457
"",31,7.5,1.196,122.787
"",29,6.5,-8.099,124.681
"",58,4.4,-7.138,109.067
"Tsu",28,7.8,-8.48,121.896
"Tsu",20,7,1.015,127.733
"",23,6.9,-4.967,104.302
"Tsu",18,7.8,-10.477,112.835
"Tsu",26,6.6,-10.362,112.892
"Tsu",11,6.5,-10.777,113.366
"Tsu",17,6.1,-10.341,113.369
"Tsu",17,6.8,-1.258,127.98
"",33,6.9,-4.183,135.109
"Tsu",13,6.9,-8.452,125.049
"",33,6.8,-2.045,101.436
"Tsu",24,7.9,0.729,119.931
"Tsu",33,8.2,-0.891,136.952
"",33,6,4.358,96.494
"",33,5.9,-3.776,119.727
"",24,7,1.241,122.536
"",152,6.6,-8.194,112.413
"Tsu",33,7.7,-2.071,124.891
"",56,6.5,-6.845,105.555
"Tsu",26,7.6,-1.105,123.573
"",33,7.9,-4.721,102.087
"",33,6.7,-4.612,101.905
"",33,5.4,-6.675,106.845
"",33,7.5,-4.102,123.907
"",10,6.2,-1.196,121.333
"",10,6.4,-1.68,134.234
"Tsu",10,7.6,-1.757,134.297
"",30,7.3,2.824,96.085
"",33,5.5,-8.807,118.524
"",33,4.6,-6.983,108.468
"",33,6.5,-8.294,120.743
"",31,7,2.354,128.855
"",10,6,1.142,128.152
"",33,4.9,-8.137,120.524
"",45,5.8,-8.31,115.788
"Tsu",17,6.7,-3.12,127.4
"",17,7,-3.615,135.538
"",10,7.3,-4.003,135.023
"",56,5.1,-0.466,100.655
"",42,6,-1.559,100.488
"",66,5.4,-1.549,100.54
"",96,5.5,-8.669,114.65
"",66,6.7,-9.362,122.839
"Tsu",10,7.5,-8.152,124.868
"",10,7.1,-3.609,135.404
"Tsu",30,9.1,3.316,95.854
"",11,6.3,-1.198,119.933
"",15,4.8,-7.037,107.819
"Tsu",30,8.6,2.085,97.108
"Tsu",19,6.7,-1.644,99.607
"",21,6.7,1.819,97.082
"",32,5.9,-1.174,119.963
"",10,5.3,-9.948,124.48
"",397,7.6,-5.473,128.131
"Tsu",30,6.7,-3.595,127.214
"",30,5,3.462,97.224
"",17,5.5,-5.575,105.395
"",13,6.3,-7.961,110.446
"Tsu",34,7.7,-9.254,107.411
"",31,5.2,-3.728,119.233
"",39,6.2,2.52,128.283
"",43,6.3,-8.251,118.777
"",30,5.8,0.626,99.859
"",22,7.5,1.065,126.282
"",19,6.4,-0.493,100.498
"",24,6.1,-1.065,127.343
"",25,6.9,2.872,127.464
"",289,7.5,-5.968,107.655
"",35,4.8,-7.783,114.338
"Tsu",34,8.4,-4.438,101.367
"",35,7.9,-2.625,100.841
"",35,6.5,-8.277,118.339
"",12,5.9,-0.795,134.012
"",20,6.1,1.011,97.442
"",26,7.4,2.768,95.964
"Tsu",25,6.5,-2.486,99.972
"",25,5.4,-3.935,103.058
"Tsu",30,7.3,1.271,122.091
"Tsu",17,7.6,-0.414,132.885
"Tsu",23,7.3,-0.691,133.305
"Tsu",22,7.2,3.884,126.397
"Tsu",20,6.7,-1.479,99.49
"",46,7,-7.782,107.297
"",79,5.7,-9.138,115.593
"Tsu",81,7.5,-0.72,99.867
"",10,6.6,-2.515,101.501
"",18,6.6,-8.207,118.631
"",65,5.1,-7.907,107.879
"Tsu",31,7.8,2.383,97.048
"",38,7.2,3.748,96.018
"",18,7,-2.174,136.543
"Tsu",20,7.8,-3.487,100.082
"",8,6.1,-4.586,122.771
"",91,6.7,2.965,97.893
"Tsu",20,8.6,2.327,93.063
"Tsu",25,8.2,0.802,92.463
"",50,5.8,-7.692,106.371
"",22,6.5,2.707,96.045
"",10,6.3,-1.315,120.096
"",12,6.1,4.927,95.907
"",47,5.1,-8.305,116.058
"",13,6.1,4.645,96.665
"",60,5.7,-8.803,113.002
"",10,5.5,5.103,95.971
"",66,6.1,-7.986,109.265
"Tsu",45,7.1,1.893,126.522
"",48,7,-2.629,138.528
"",10,6.6,-0.59,131.27
"",20,6.5,-8.338,124.875
"",4,5.6,-3.873,127.229
"Tsu",24,7.8,-4.952,94.33
"",50,6.6,-2.097,100.665
"",31,6.3,1.279,126.371
"",21,5.6,-8.194,117.814
"",13,6.5,5.283,96.168
"",112,5.6,-8.492,115.323
"",12,6.6,-1.292,120.431
"",6,6.1,-3.745,127.752
"",20,5.9,2.382,128.144
"",92,6.5,-7.734,108.023
"",44,6,-7.196,105.918
"",4,4.4,-7.21,109.65
"",10,5.2,-0.965,100.771
"",6,6.4,-8.274,116.491
"Tsu",31,6.9,-8.287,116.452
"",10,5.9,-8.394,116.208
"",8,6.3,-8.325,116.577
"",26,6.9,-8.324,116.626
"Tsu",10,7.5,-0.178,119.84
"",9,6,-7.456,114.453
"",9,5.6,-2.916,119.435
"",10,5.4,-1.301,101.601
"",24,5.5,-8.418,116.52
"",18,6.8,-1.852,122.553
"",10,7.3,-0.529,128.093
"",53,6.9,-7.267,104.825
"",18,6.5,-3.45,128.347
"",54,5,-3.65,128.216
