I_D	FLAG_TSUNAMI	YEAR	MONTH	DAY	HOUR	MINUTE	SECOND	FOCAL_DEPTH	EQ_PRIMARY	EQ_MAG_MW	EQ_MAG_MS	EQ_MAG_MB	EQ_MAG_ML	EQ_MAG_MFA	EQ_MAG_UNK	INTENSITY	COUNTRY	STATE	LOCATION_NAME	LATITUDE	LONGITUDE	REGION_CODE	DEATHS	DEATHS_DESCRIPTION	MISSING	MISSING_DESCRIPTION	INJURIES	INJURIES_DESCRIPTION	DAMAGE_MILLIONS_DOLLARS	DAMAGE_DESCRIPTION	HOUSES_DESTROYED	HOUSES_DESTROYED_DESCRIPTION	HOUSES_DAMAGED	HOUSES_DAMAGED_DESCRIPTION	TOTAL_DEATHS	TOTAL_DEATHS_DESCRIPTION	TOTAL_MISSING	TOTAL_MISSING_DESCRIPTION	TOTAL_INJURIES	TOTAL_INJURIES_DESCRIPTION	TOTAL_DAMAGE_MILLIONS_DOLLARS	TOTAL_DAMAGE_DESCRIPTION	TOTAL_HOUSES_DESTROYED	TOTAL_HOUSES_DESTROYED_DESCRIPTION	TOTAL_HOUSES_DAMAGED	TOTAL_HOUSES_DAMAGED_DESCRIPTION
5965	Tsu	1629	8	1													INDONESIA		INDONESIA:  BANDA SEA	  -4.600	  129.900	170																				2		2		
9392	Tsu	1630															INDONESIA		INDONESIA:  BANDA SEA	  -4.600	  129.900	170																								
5973	Tsu	1657	12														INDONESIA		INDONESIA:  BANDA SEA	  -3.000	  128.000	170																								
6027	Tsu	1659	11	9													INDONESIA		INDONESIA:  BANDA SEA	  -6.920	  129.125	170																								
5980	Tsu	1673	5	20													INDONESIA		INDONESIA:  N. MOLUCCAS ISLANDS	   1.375	  127.520	170								1												1				
5981	Tsu	1673	7	12													INDONESIA		INDONESIA:  BANDA SEA	  -3.000	  128.000	170								1												1				
5982	Tsu	1673	8	12													INDONESIA		INDONESIA:  N. MOLUCCAS ISLANDS	   1.375	  127.520	170								1						3						1				
5983	Tsu	1674	2	17	11	30		40	 6.8		 6.8						INDONESIA		INDONESIA:  AMBON ISLAND, SERAM ISLAND	  -3.750	  127.750	170	      86	2			        35	1		3		3			    2330	4			41	1		3		3		
5984	Tsu	1674	5	6													INDONESIA		INDONESIA:  BANDA SEA	  -3.700	  128.200	170																								
9892	Tsu	1681	12	11													INDONESIA		INDONESIA:  SUMATRA:  MENTAWAI ISLANDS			60																								
5993	Tsu	1708	11	28													INDONESIA		INDONESIA:  BANDA SEA	  -3.690	  128.150	170																								
5994	Tsu	1710	3	6													INDONESIA		INDONESIA:  BANDANEIRA	  -4.530	  129.900	170								3				3								3				3
6021	Tsu	1711	9	5					 7.0		 7.0						INDONESIA		INDONESIA:  BANDA SEA	  -4.000	  129.000	170													       2	1						1	2	1		
9533	Tsu	1722	10														INDONESIA		INDONESIA:  JAVA: DJAKARTA (JAKARTA)	  -6.174	  106.829	60																								
5907	Tsu	1754	8	18					 6.5		 6.5						INDONESIA		INDONESIA:  AMBON ISLAND	  -3.500	  128.500	170	       4	1						2		2		2	       4	1						2		2		2
5908	Tsu	1754	9	7													INDONESIA		INDONESIA:  BANDA SEA	  -3.500	  128.500	170																								
6028	Tsu	1757	8	24					 7.5		 7.5						INDONESIA		INDONESIA:  JAKARTA	  -6.000	  107.000	60																								
6036	Tsu	1763	9	12													INDONESIA		INDONESIA:  BANDANEIRA	  -6.000	  130.000	170								2		3			       7	1						2		3		
9532	Tsu	1770							 7.0		 7.0						INDONESIA		INDONESIA:  SUMATRA:	  -5.000	  102.000	60								3		3										3		3		
5919	Tsu	1775	4	18													INDONESIA		INDONESIA:  BANDA SEA	  -3.700	  128.200	170								1												1				
5933	Tsu	1797	2	10					 8.0		 8.0						INDONESIA		SW. SUMATRA	    .001	   99.000	60								1					     300	3						2		3		
6040	Tsu	1802	8														INDONESIA		INDONESIA:  BANDA SEA	  -3.700	  128.200	170																				2				
6068	Tsu	1814															INDONESIA		INDONESIA:  TIMOR ISLAND, KUPANG, KISSAR ISLAND	 -10.217	  123.633	60								3												3				
7528	Tsu	1815	4	11													INDONESIA		INDONESIA:  AMBON ISLAND	  -3.700	  128.400	170								2		2										2		2		
1620	Tsu	1815	11	22				150	 7.0		 7.0						INDONESIA		INDONESIA:  BALI	  -8.000	  115.000	60	   10253	4											   11453	4										
6069	Tsu	1816	5	1													INDONESIA		INDONESIA; MALAYSIA:  PENANG ISLAND	   5.000	   96.500	60																								
